,param_randomforestclassifier__n_estimators,param_randomforestclassifier__max_depth,param_randomforestclassifier__class_weight,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_f1
10,200,16,balanced,0.8114613807727581,0.5802371205770885,0.7849749938216204,0.6672166552960415
18,20,16,balanced,0.8105708588493019,0.5786881729070117,0.7847206234310168,0.66609364496772
16,100,18,balanced,0.8163445694134317,0.5931624343103722,0.7556426490290189,0.6645719897894746
3,200,12,balanced,0.7950615495525675,0.548921022479932,0.8358627294129889,0.6626597802761433
11,50,12,balanced,0.7951229227426831,0.5491088830651503,0.8347148515237836,0.6624195149307228
6,20,12,balanced,0.7955835824099297,0.5502272693534682,0.828465501879528,0.6612403573155596
7,10,18,balanced,0.8113080350355799,0.5851845599036383,0.7442919089241815,0.6551674341680093
14,50,10,balanced,0.7807806943285985,0.5276644043921264,0.8569054772960809,0.6531123106966561
1,50,18,,0.8400233269993749,0.712278385392462,0.5638313595036485,0.6293167472730501
15,500,18,,0.8403305371868246,0.7143092287417985,0.5620461329847427,0.629031194774236
0,50,16,,0.8394398502182934,0.7161060154772722,0.5524811071656196,0.6236987220227803
5,50,14,,0.8403305843425605,0.724261093012849,0.5448297531249594,0.6217451634040976
4,20,14,,0.8392249898237922,0.7207371833545588,0.5434269357838738,0.619483566276892
12,100,14,,0.8397470321123016,0.7239949943246007,0.5412580806701266,0.6193339572274038
19,10,16,,0.8350788076087478,0.7024222075679749,0.5469973888216855,0.6150189049417073
2,10,14,,0.8350174532809262,0.7069680495007835,0.5387077919121759,0.6113237773407624
9,500,12,,0.8383650153859735,0.7311045392145896,0.5204704348278508,0.6079909733051199
17,10,12,,0.8357545351557327,0.7156224401144454,0.5277395422796269,0.6074552764505142
13,20,10,,0.8354780846547314,0.7317162149858063,0.5005734511777943,0.594389521158362
8,100,10,,0.8358774277187451,0.7349246196298682,0.4982799716444896,0.5938394449658737
